sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;command;
1589347312;771534;1589347312;771550;1589347312;771534;0;
1589347312;777343;1589347312;777358;1589347312;777343;4;
1589347312;783236;1589347312;783251;1589347312;783236;0;
1589347312;789600;1589347312;789616;1589347312;789600;0;
1589347312;795924;1589347312;795940;1589347312;795924;1;
1589347312;802278;1589347312;802293;1589347312;802278;8;
1589347312;808616;1589347312;808631;1589347312;808616;8;
1589347312;817396;1589347312;817411;1589347312;817396;8;
1589347312;824258;1589347312;824274;1589347312;824258;8;
1589347312;831063;1589347312;831079;1589347312;831063;8;
1589347312;837416;1589347312;837432;1589347312;837416;8;
1589347312;843717;1589347312;843732;1589347312;843717;8;
1589347312;850098;1589347312;850113;1589347312;850098;8;
1589347312;856441;1589347312;856457;1589347312;856441;8;
1589347312;863274;1589347312;863291;1589347312;863274;8;
1589347312;870099;1589347312;870114;1589347312;870099;8;
1589347312;876938;1589347312;876953;1589347312;876938;8;
1589347312;883791;1589347312;883807;1589347312;883791;8;
1589347312;890124;1589347312;890139;1589347312;890124;8;
1589347312;896432;1589347312;896448;1589347312;896432;8;
1589347312;902799;1589347312;902815;1589347312;902799;8;
1589347312;911067;1589347312;911082;1589347312;911067;8;
1589347312;917930;1589347312;917946;1589347312;917930;8;
1589347312;924277;1589347312;924292;1589347312;924277;8;
1589347312;931589;1589347312;931605;1589347312;931589;8;
1589347312;937910;1589347312;937925;1589347312;937910;8;
1589347312;944476;1589347312;944527;1589347312;944476;0;
1589347312;951599;1589347312;951614;1589347312;951599;8;
1589347312;957935;1589347312;957951;1589347312;957935;2;
1589347312;964271;1589347312;964285;1589347312;964271;0;
1589347312;970605;1589347312;970620;1589347312;970605;8;
1589347312;976972;1589347312;976987;1589347312;976972;2;
1589347312;983270;1589347312;983285;1589347312;983270;0;
1589347312;990107;1589347312;990123;1589347312;990107;8;
1589347312;996972;1589347312;996988;1589347312;996972;2;
1589347313;4787;1589347313;4802;1589347313;4787;0;
1589347313;11129;1589347313;11143;1589347313;11129;8;
1589347313;17442;1589347313;17457;1589347313;17442;2;
1589347313;24321;1589347313;24335;1589347313;24321;0;
1589347313;31140;1589347313;31156;1589347313;31140;8;
1589347313;37946;1589347313;37961;1589347313;37946;2;
1589347313;44750;1589347313;44765;1589347313;44750;0;
1589347313;51665;1589347313;51680;1589347313;51665;8;
1589347313;58427;1589347313;58442;1589347313;58427;2;
1589347313;65304;1589347313;65318;1589347313;65304;0;
1589347313;74067;1589347313;74082;1589347313;74067;8;
1589347313;80506;1589347313;80522;1589347313;80506;2;
1589347313;86739;1589347313;86754;1589347313;86739;0;
1589347313;93601;1589347313;93616;1589347313;93601;8;
1589347313;99934;1589347313;99949;1589347313;99934;2;
1589347313;107237;1589347313;107253;1589347313;107237;0;
1589347313;113590;1589347313;113643;1589347313;113590;8;
1589347313;120939;1589347313;120954;1589347313;120939;2;
1589347313;127262;1589347313;127277;1589347313;127262;0;
1589347313;145368;1589347313;145382;1589347313;145368;8;
1589347313;151666;1589347313;151681;1589347313;151666;2;
1589347313;158003;1589347313;158018;1589347313;158003;0;
1589347313;164406;1589347313;164420;1589347313;164406;8;
1589347313;170805;1589347313;170820;1589347313;170805;2;
1589347313;177516;1589347313;177531;1589347313;177516;0;
1589347313;183869;1589347313;183884;1589347313;183869;8;
1589347313;190258;1589347313;190274;1589347313;190258;2;
1589347313;196676;1589347313;196692;1589347313;196676;0;
1589347313;203012;1589347313;203027;1589347313;203012;8;
1589347313;209256;1589347313;209271;1589347313;209256;2;
1589347313;215830;1589347313;215846;1589347313;215830;0;
1589347313;222445;1589347313;222459;1589347313;222445;8;
1589347313;228794;1589347313;228809;1589347313;228794;2;
1589347313;235147;1589347313;235162;1589347313;235147;0;
1589347313;241490;1589347313;241506;1589347313;241490;8;
1589347313;248011;1589347313;248027;1589347313;248011;2;
1589347313;254931;1589347313;254946;1589347313;254931;0;
1589347313;262444;1589347313;262460;1589347313;262444;8;
1589347313;268811;1589347313;268826;1589347313;268811;2;
1589347313;275130;1589347313;275145;1589347313;275130;0;
1589347313;281973;1589347313;281988;1589347313;281973;8;
1589347313;289128;1589347313;289144;1589347313;289128;2;
1589347313;295653;1589347313;295688;1589347313;295653;0;
1589347313;303439;1589347313;303454;1589347313;303439;8;
1589347313;310281;1589347313;310296;1589347313;310281;2;
1589347313;316631;1589347313;316646;1589347313;316631;0;
1589347313;322977;1589347313;322992;1589347313;322977;8;
1589347313;329470;1589347313;329485;1589347313;329470;2;
1589347313;335642;1589347313;335657;1589347313;335642;0;
1589347313;341881;1589347313;341896;1589347313;341881;8;
1589347313;348471;1589347313;348486;1589347313;348471;2;
1589347313;354609;1589347313;354628;1589347313;354609;0;
1589347313;362418;1589347313;362434;1589347313;362418;8;
1589347313;368728;1589347313;368742;1589347313;368728;2;
1589347313;375094;1589347313;375109;1589347313;375094;0;
1589347313;381442;1589347313;381457;1589347313;381442;8;
1589347313;387769;1589347313;387785;1589347313;387769;2;
1589347313;394674;1589347313;394690;1589347313;394674;0;
1589347313;401082;1589347313;401097;1589347313;401082;8;
1589347313;407524;1589347313;407539;1589347313;407524;2;
1589347313;414125;1589347313;414140;1589347313;414125;0;
1589347313;420499;1589347313;420531;1589347313;420499;8;
1589347313;427049;1589347313;427064;1589347313;427049;2;
1589347313;433418;1589347313;433433;1589347313;433418;0;
1589347313;439504;1589347313;439520;1589347313;439504;8;
1589347313;446322;1589347313;446336;1589347313;446322;2;
1589347313;453341;1589347313;453356;1589347313;453341;0;
1589347313;459533;1589347313;459549;1589347313;459533;8;
1589347313;465850;1589347313;465866;1589347313;465850;2;
1589347313;472439;1589347313;472454;1589347313;472439;0;
1589347313;479533;1589347313;479549;1589347313;479533;8;
1589347313;489504;1589347313;489519;1589347313;489504;2;
1589347313;496101;1589347313;496116;1589347313;496101;0;
1589347313;503111;1589347313;503126;1589347313;503111;8;
1589347313;509314;1589347313;509330;1589347313;509314;2;
1589347313;515835;1589347313;515850;1589347313;515835;0;
1589347313;522469;1589347313;522485;1589347313;522469;8;
1589347313;528753;1589347313;528769;1589347313;528753;2;
1589347313;534795;1589347313;534811;1589347313;534795;0;
1589347313;541554;1589347313;541570;1589347313;541554;8;
1589347313;548002;1589347313;548016;1589347313;548002;2;
1589347313;554944;1589347313;554960;1589347313;554944;0;
1589347313;561686;1589347313;561701;1589347313;561686;8;
1589347313;568015;1589347313;568030;1589347313;568015;2;
1589347313;576665;1589347313;576681;1589347313;576665;0;
1589347313;585513;1589347313;585529;1589347313;585513;8;
1589347313;594466;1589347313;594484;1589347313;594466;2;
1589347313;601471;1589347313;601488;1589347313;601471;0;
1589347313;607518;1589347313;607533;1589347313;607518;8;
1589347313;613751;1589347313;613767;1589347313;613751;2;
1589347313;620789;1589347313;620825;1589347313;620789;0;
1589347313;628070;1589347313;628085;1589347313;628070;8;
1589347313;634915;1589347313;634931;1589347313;634915;2;
1589347313;641505;1589347313;641546;1589347313;641505;0;
1589347313;647546;1589347313;647560;1589347313;647546;8;
1589347313;654701;1589347313;654717;1589347313;654701;2;
1589347313;660735;1589347313;660750;1589347313;660735;0;
1589347313;667174;1589347313;667190;1589347313;667174;8;
1589347313;673367;1589347313;673382;1589347313;673367;2;
1589347313;680818;1589347313;680834;1589347313;680818;0;
1589347313;688096;1589347313;688112;1589347313;688096;0;
1589347313;694520;1589347313;694535;1589347313;694520;0;
1589347313;701299;1589347313;701314;1589347313;701299;6;
1589347313;707615;1589347313;707629;1589347313;707615;0;
1589347313;715558;1589347313;715578;1589347313;715558;0;
1589347313;722648;1589347313;722685;1589347313;722648;0;
1589347313;729367;1589347313;729383;1589347313;729367;0;
1589347313;735957;1589347313;735971;1589347313;735957;0;
1589347313;742561;1589347313;742577;1589347313;742561;0;
1589347313;749101;1589347313;749118;1589347313;749101;0;
1589347313;755461;1589347313;755477;1589347313;755461;0;
1589347313;761796;1589347313;761812;1589347313;761796;0;
1589347313;768396;1589347313;768413;1589347313;768396;0;
1589347313;775438;1589347313;775455;1589347313;775438;0;
1589347313;782350;1589347313;782370;1589347313;782350;0;
1589347313;790348;1589347313;790364;1589347313;790348;0;
1589347313;797485;1589347313;797502;1589347313;797485;0;
1589347313;823543;1589347313;823559;1589347313;823543;0;
1589347313;830141;1589347313;830158;1589347313;830141;0;
1589347313;837161;1589347313;837178;1589347313;837161;0;
1589347313;848743;1589347313;848761;1589347313;848743;0;
1589347313;855749;1589347313;855766;1589347313;855749;0;
1589347313;862542;1589347313;862559;1589347313;862542;0;
1589347313;869455;1589347313;869472;1589347313;869455;0;
1589347313;876001;1589347313;876018;1589347313;876001;0;
1589347313;883108;1589347313;883125;1589347313;883108;2;
1589347313;890877;1589347313;890895;1589347313;890877;0;
1589347313;897491;1589347313;897508;1589347313;897491;8;
1589347313;904569;1589347313;904586;1589347313;904569;2;
1589347313;911180;1589347313;911196;1589347313;911180;0;
1589347313;918003;1589347313;918019;1589347313;918003;8;
1589347313;925075;1589347313;925092;1589347313;925075;2;
1589347313;931872;1589347313;931888;1589347313;931872;0;
1589347313;938658;1589347313;938673;1589347313;938658;8;
1589347313;945520;1589347313;945536;1589347313;945520;2;
1589347313;952398;1589347313;952414;1589347313;952398;0;
1589347313;959192;1589347313;959208;1589347313;959192;8;
1589347313;984595;1589347313;984610;1589347313;984595;2;
1589347313;991431;1589347313;991448;1589347313;991431;0;
1589347313;998215;1589347313;998230;1589347313;998215;8;
1589347314;5104;1589347314;5120;1589347314;5104;2;
1589347314;11877;1589347314;11892;1589347314;11877;0;
1589347314;18823;1589347314;18838;1589347314;18823;8;
1589347314;25346;1589347314;25362;1589347314;25346;2;
1589347314;32407;1589347314;32423;1589347314;32407;0;
1589347314;39001;1589347314;39016;1589347314;39001;8;
1589347314;45554;1589347314;45569;1589347314;45554;2;
1589347314;51741;1589347314;51756;1589347314;51741;0;
1589347314;58747;1589347314;58762;1589347314;58747;8;
