sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;time;grassMax;grassMean;
1589347312;790034;1589347312;790047;1589347312;790034;228;1;0.9714586;
1589347312;796334;1589347312;796346;1589347312;796334;229;1;0.97146;
1589347312;802758;1589347312;802773;1589347312;802758;230;1;0.9714572;
1589347312;809020;1589347312;809033;1589347312;809020;231;1;0.971454;
1589347312;817805;1589347312;817817;1589347312;817805;232;1;0.9714511;
1589347312;824683;1589347312;824696;1589347312;824683;233;1;0.9714481;
1589347312;831458;1589347312;831471;1589347312;831458;234;1;0.9714451;
1589347312;837830;1589347312;837842;1589347312;837830;235;1;0.9714421;
1589347312;844089;1589347312;844102;1589347312;844089;236;1;0.9714391;
1589347312;850517;1589347312;850530;1589347312;850517;237;1;0.9714361;
1589347312;856865;1589347312;856878;1589347312;856865;238;1;0.9714332;
1589347312;863696;1589347312;863709;1589347312;863696;239;1;0.9714301;
1589347312;870574;1589347312;870588;1589347312;870574;240;1;0.9714271;
1589347312;877346;1589347312;877359;1589347312;877346;241;1;0.9714242;
1589347312;884203;1589347312;884215;1589347312;884203;242;1;0.9714212;
1589347312;890542;1589347312;890555;1589347312;890542;243;1;0.9714181;
1589347312;896815;1589347312;896827;1589347312;896815;244;1;0.9714152;
1589347312;903741;1589347312;903755;1589347312;903741;245;1;0.9714122;
1589347312;911489;1589347312;911502;1589347312;911489;246;1;0.9714091;
1589347312;918329;1589347312;918342;1589347312;918329;247;1;0.9714062;
1589347312;924702;1589347312;924715;1589347312;924702;248;1;0.9714032;
1589347312;931991;1589347312;932004;1589347312;931991;249;1;0.9714003;
1589347312;938362;1589347312;938375;1589347312;938362;250;1;0.9713972;
1589347312;944996;1589347312;945039;1589347312;944996;251;1;0.9713942;
1589347312;952018;1589347312;952030;1589347312;952018;252;1;0.9713957;
1589347312;958341;1589347312;958353;1589347312;958341;253;1;0.9713972;
1589347312;964678;1589347312;964690;1589347312;964678;254;1;0.9713984;
1589347312;970995;1589347312;971008;1589347312;970995;255;1;0.9713998;
1589347312;977391;1589347312;977403;1589347312;977391;256;1;0.9714013;
1589347312;983679;1589347312;983692;1589347312;983679;257;1;0.9714026;
1589347312;990525;1589347312;990538;1589347312;990525;258;1;0.9714041;
1589347312;997459;1589347312;997472;1589347312;997459;259;1;0.9714054;
1589347313;5195;1589347313;5207;1589347313;5195;260;1;0.9714068;
1589347313;11545;1589347313;11557;1589347313;11545;261;1;0.9714082;
1589347313;17815;1589347313;17827;1589347313;17815;262;1;0.9714096;
1589347313;24728;1589347313;24741;1589347313;24728;263;1;0.971411;
1589347313;31542;1589347313;31555;1589347313;31542;264;1;0.9714125;
1589347313;38517;1589347313;38530;1589347313;38517;265;1;0.9714139;
1589347313;45133;1589347313;45145;1589347313;45133;266;1;0.9714153;
1589347313;52164;1589347313;52177;1589347313;52164;267;1;0.9714167;
1589347313;58829;1589347313;58841;1589347313;58829;268;1;0.971418;
1589347313;65707;1589347313;65719;1589347313;65707;269;1;0.9714195;
1589347313;74482;1589347313;74494;1589347313;74482;270;1;0.9714209;
1589347313;80943;1589347313;80956;1589347313;80943;271;1;0.9714223;
1589347313;87112;1589347313;87125;1589347313;87112;272;1;0.9714236;
1589347313;94000;1589347313;94013;1589347313;94000;273;1;0.9714251;
1589347313;100411;1589347313;100424;1589347313;100411;274;1;0.9714264;
1589347313;107649;1589347313;107661;1589347313;107649;275;1;0.9714279;
1589347313;114205;1589347313;114218;1589347313;114205;276;1;0.9714293;
1589347313;121426;1589347313;121439;1589347313;121426;277;1;0.9714307;
1589347313;127661;1589347313;127674;1589347313;127661;278;1;0.9714321;
1589347313;145761;1589347313;145774;1589347313;145761;279;1;0.9714335;
1589347313;152070;1589347313;152083;1589347313;152070;280;1;0.971435;
1589347313;158371;1589347313;158383;1589347313;158371;281;1;0.9714363;
1589347313;164829;1589347313;164841;1589347313;164829;282;1;0.9714378;
1589347313;171202;1589347313;171214;1589347313;171202;283;1;0.9714391;
1589347313;177908;1589347313;177920;1589347313;177908;284;1;0.9714405;
1589347313;184332;1589347313;184344;1589347313;184332;285;1;0.9714419;
1589347313;190667;1589347313;190680;1589347313;190667;286;1;0.9714433;
1589347313;197151;1589347313;197164;1589347313;197151;287;1;0.9714447;
1589347313;203259;1589347313;203271;1589347313;203259;288;1;0.9714461;
1589347313;209663;1589347313;209675;1589347313;209663;289;1;0.9714475;
1589347313;216068;1589347313;216080;1589347313;216068;290;1;0.9714489;
1589347313;222891;1589347313;222903;1589347313;222891;291;1;0.9714503;
1589347313;229226;1589347313;229239;1589347313;229226;292;1;0.9714517;
1589347313;235629;1589347313;235642;1589347313;235629;293;1;0.9714531;
1589347313;241899;1589347313;241911;1589347313;241899;294;1;0.9714545;
1589347313;248255;1589347313;248268;1589347313;248255;295;1;0.9714559;
1589347313;255189;1589347313;255222;1589347313;255189;296;1;0.9714573;
